src,dst,sport,dport,payload
127.0.0.1,127.0.0.1,12345,12346,00000000d108e6c503aa06c901099a99999999b0b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
127.0.0.1,127.0.0.1,12345,12346,00000000d108e7c503aa06c9010934333333b3b0b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
127.0.0.1,127.0.0.1,12345,12346,00000000d108e8c503aa06c90109cdccccccccb0b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
127.0.0.1,127.0.0.1,12345,12346,00000000d108e9c503aa06c9010967666666e6b0b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
127.0.0.1,127.0.0.1,12345,12346,00000000d108eac503aa06c901090000000000b1b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
127.0.0.1,127.0.0.1,12345,12346,00000000d108ebc503aa06c901099a99999919b1b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
127.0.0.1,127.0.0.1,12345,12346,00000000d108ecc503aa06c901093433333333b1b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
127.0.0.1,127.0.0.1,12345,12346,00000000d108edc503aa06c90109cdcccccc4cb1b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
127.0.0.1,127.0.0.1,12345,12346,00000000d108eec503aa06c901096766666666b1b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
127.0.0.1,127.0.0.1,12345,12346,00000000d108efc503aa06c901090000000080b1b640123eb2063b080112370a2c08caf6bf950711000000000000f03f200029439a66d46b72c140318280d7c37e14b44039c2f04f61ec077540110000000000000000123eb2063b080212370a2c08a59f94b10a11000000000000f03f2000297f94c4e47a09c14031cf81ee59f6d1b3403975d9fe122a486e40110000000000000000123eb2063b080312370a2c08d6f1dbd20e11000000000000f03f2000291a3d18723626c140311c4c488b3d6bb5403933d223ed40fe7440110000000000000000
